X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
,,0.3873475,0.661334,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3934515,0.674018,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3995563,0.680334,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4076093,0.702553,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4129495,0.718428,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4230373,0.743814,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4288865,0.758623,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4363466,0.77554,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4418575,0.783984,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4478767,0.796669,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4541511,0.802984,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4600002,0.818854,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4656799,0.832603,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4729708,0.847399,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4806004,0.865377,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4865343,0.880185,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4928932,0.889683,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0.900247,,,,,,,,,,,,,,,,,,,,,,,,,
